,Attribute,Utility,Importance
3,Ticket Price,2.6616,60.29126279569699
2,Ticket Location,2.4748599999999996,56.061179231499324
1,Promo Item,0.8099999999999999,18.34833290671572
0,Number of Games,0.79663,18.04547215244067
